blur_ksize,blur_sigma,color_purity,diff_thresh,engine,expand_radius,felz_min_size,felz_scale,felz_sigma,fragment_ratio,group,mean_label_size,n_final,n_init,n_labels,n_layers,overlay_ratio,panel,param_name,param_val
,,19.89351642102438,,v4_kmeans,,,,,0.25,a,0.25,,,4,4,,1,,
,,16.92840544316554,,v4_kmeans,,,,,0.3333333333333333,a,0.16666666666666666,,,6,6,,1,,
,,8.947501000324838,,v4_kmeans,,,,,0.0,a,0.125,,,8,8,,1,,
,,17.159995209914065,,slic_kmeans,,,,,0.0,a,0.25,,,4,4,,1,,
,,12.902330737607436,,slic_kmeans,,,,,0.0,a,0.16666666666666666,,,6,6,,1,,
,,13.912148221162091,,slic_kmeans,,,,,0.0,a,0.125,,,8,8,,1,,
,,19.725999229176647,,edge_guided,,,,,0.25,a,0.25,,,4,4,,1,,
,,13.639430039183743,,edge_guided,,,,,0.3333333333333333,a,0.16666666666666666,,,6,6,,1,,
,,12.352572479162701,,edge_guided,,,,,0.2857142857142857,a,0.14285714285714288,,,7,8,,1,,
,,37.28295813374893,,grayscale,,,,,0.0,a,1.0,,,1,4,,1,,
,,37.28295813374893,,grayscale,,,,,0.0,a,1.0,,,1,6,,1,,
,,37.28295813374893,,grayscale,,,,,0.0,a,1.0,,,1,8,,1,,
,,17.43751458124828,,ensemble,,,,,0.2,a,0.2,,,5,4,,1,,
,,17.43751458124828,,ensemble,,,,,0.2,a,0.2,,,5,6,,1,,
,,17.43751458124828,,ensemble,,,,,0.2,a,0.2,,,5,8,,1,,
,,17.239225102661134,,v4_kmeans,,,,,0.25,a,0.25,,,4,4,,2,,
,,16.977273914106636,,v4_kmeans,,,,,0.3333333333333333,a,0.16666666666666666,,,6,6,,2,,
,,8.860492382792632,,v4_kmeans,,,,,0.0,a,0.125,,,8,8,,2,,
,,19.615788375149656,,slic_kmeans,,,,,0.0,a,0.25,,,4,4,,2,,
,,18.664366801628784,,slic_kmeans,,,,,0.0,a,0.16666666666666666,,,6,6,,2,,
,,15.025965003676866,,slic_kmeans,,,,,0.0,a,0.125,,,8,8,,2,,
,,17.387219732027607,,edge_guided,,,,,0.25,a,0.25,,,4,4,,2,,
,,13.909785833534515,,edge_guided,,,,,0.16666666666666666,a,0.16666666666666666,,,6,6,,2,,
,,13.909785833534515,,edge_guided,,,,,0.16666666666666666,a,0.16666666666666666,,,6,8,,2,,
,,40.171112852464915,,grayscale,,,,,0.0,a,1.0,,,1,4,,2,,
,,40.171112852464915,,grayscale,,,,,0.0,a,1.0,,,1,6,,2,,
,,40.171112852464915,,grayscale,,,,,0.0,a,1.0,,,1,8,,2,,
,,24.95541868469742,,ensemble,,,,,0.2,a,0.2,,,5,4,,2,,
,,24.95541868469742,,ensemble,,,,,0.2,a,0.2,,,5,6,,2,,
,,24.95541868469742,,ensemble,,,,,0.2,a,0.2,,,5,8,,2,,
,,17.787961326936006,,v4_kmeans,,,,,0.0,a,0.25,,,4,4,,3,,
,,12.069710058165066,,v4_kmeans,,,,,0.0,a,0.16666666666666666,,,6,6,,3,,
,,10.755700665963461,,v4_kmeans,,,,,0.0,a,0.125,,,8,8,,3,,
,,14.535852540629506,,slic_kmeans,,,,,0.0,a,0.25,,,4,4,,3,,
,,12.590669700027055,,slic_kmeans,,,,,0.0,a,0.16666666666666666,,,6,6,,3,,
,,12.954016915372168,,slic_kmeans,,,,,0.0,a,0.125,,,8,8,,3,,
,,17.827125189593012,,edge_guided,,,,,0.0,a,0.25,,,4,4,,3,,
,,13.794874165964373,,edge_guided,,,,,0.0,a,0.2,,,5,6,,3,,
,,13.794874165964373,,edge_guided,,,,,0.0,a,0.2,,,5,8,,3,,
,,20.785026899672435,,grayscale,,,,,0.0,a,0.25,,,4,4,,3,,
,,23.645364098016216,,grayscale,,,,,0.0,a,0.25,,,4,6,,3,,
,,20.564912458791593,,grayscale,,,,,0.0,a,0.25,,,4,8,,3,,
,,16.664110738453466,,ensemble,,,,,0.0,a,0.2,,,5,4,,3,,
,,16.664110738453466,,ensemble,,,,,0.0,a,0.2,,,5,6,,3,,
,,16.664110738453466,,ensemble,,,,,0.0,a,0.2,,,5,8,,3,,
,,9.027636052750461,,v4_kmeans,,,,,0.0,a,0.1,,,10,10,,3,,
,,7.944619672722118,,v4_kmeans,,,,,0.0,a,0.08333333333333333,,,12,12,,3,,
,,11.706859503455503,,slic_kmeans,,,,,0.1,a,0.1,,,10,10,,3,,
,,11.345124183008837,,slic_kmeans,,,,,0.08333333333333333,a,0.08333333333333333,,,12,12,,3,,
7,3.0,2.706644978579526,20.0,,15,,,,0.9965287821810819,b,0.0002872900145008607,,,3457,,0.0068,1,blur_ksize,7
15,3.0,1.8605985837301857,20.0,,15,,,,0.9959814528593508,b,0.00030474212209036987,,,3235,,0.0142,1,blur_ksize,15
21,3.0,1.855869255588902,20.0,,15,,,,0.9959789669038045,b,0.00030485887194241473,,,3233,,0.0144,1,blur_ksize,21
15,1.5,3.846789465813488,20.0,,15,,,,0.9965753424657534,b,0.0002633232549967764,,,3796,,0.0004,1,blur_sigma,1.5
15,3.0,1.8605985837301857,20.0,,15,,,,0.9959814528593508,b,0.00030474212209036987,,,3235,,0.0142,1,blur_sigma,3.0
15,5.0,1.4547448581602322,20.0,,15,,,,0.9961989230281914,b,0.00031046323983013755,,,3157,,0.0199,1,blur_sigma,5.0
15,3.0,1.1111192671472088,10.0,,15,,,,0.9960655737704918,b,0.0003181640383878157,,,3050,,0.0296,1,diff_thresh,10.0
15,3.0,1.8605985837301857,20.0,,15,,,,0.9959814528593508,b,0.00030474212209036987,,,3235,,0.0142,1,diff_thresh,20.0
15,3.0,3.2168609853999044,30.0,,15,,,,0.9963948973932335,b,0.00027620718379629903,,,3606,,0.004,1,diff_thresh,30.0
15,3.0,1.4936881773897854,20.0,,8,,,,0.9959273182957393,b,0.0003084980232818802,,,3192,,0.0153,1,expand_radius,8
15,3.0,1.8605985837301857,20.0,,15,,,,0.9959814528593508,b,0.00030474212209036987,,,3235,,0.0142,1,expand_radius,15
15,3.0,3.1998615119605778,20.0,,25,,,,0.9958170663692136,b,0.00027715614966587006,,,3586,,0.0061,1,expand_radius,25
7,3.0,4.71333639694116,20.0,,15,,,,0.9961481481481481,b,0.000292065295576988,,,3375,,0.0143,2,blur_ksize,7
15,3.0,3.692933408105967,20.0,,15,,,,0.9958071278825996,b,0.0003401661850504822,,,2862,,0.0264,2,blur_ksize,15
21,3.0,3.720257780872645,20.0,,15,,,,0.9961832061068703,b,0.00033767508021735544,,,2882,,0.0268,2,blur_ksize,21
15,1.5,5.893122673147664,20.0,,15,,,,0.9969403365629781,b,0.00025431717473424335,,,3922,,0.0026,2,blur_sigma,1.5
15,3.0,3.692933408105967,20.0,,15,,,,0.9958071278825996,b,0.0003401661850504822,,,2862,,0.0264,2,blur_sigma,3.0
15,5.0,3.5518321574218388,20.0,,15,,,,0.9954665659236872,b,0.00036444842195536113,,,2647,,0.0353,2,blur_sigma,5.0
15,3.0,2.263090776943323,10.0,,15,,,,0.9951456310679612,b,0.00038143036331125807,,,2472,,0.0571,2,diff_thresh,10.0
15,3.0,3.692933408105967,20.0,,15,,,,0.9958071278825996,b,0.0003401661850504822,,,2862,,0.0264,2,diff_thresh,20.0
15,3.0,5.065215295003698,30.0,,15,,,,0.9966499162479062,b,0.0002761300852554784,,,3582,,0.0109,2,diff_thresh,30.0
15,3.0,2.8933628842180616,20.0,,8,,,,0.9961484593837535,b,0.000339889762550548,,,2856,,0.0293,2,expand_radius,8
15,3.0,3.692933408105967,20.0,,15,,,,0.9958071278825996,b,0.0003401661850504822,,,2862,,0.0264,2,expand_radius,15
15,3.0,4.875121871946893,20.0,,25,,,,0.9961999415375621,b,0.00028705320580041,,,3421,,0.018,2,expand_radius,25
7,3.0,3.0946845057455077,20.0,,15,,,,0.9959112149532711,b,0.0002904757924910141,,,3424,,0.0054,3,blur_ksize,7
15,3.0,2.524613734643438,20.0,,15,,,,0.9957737321196359,b,0.00032151738681202724,,,3076,,0.011,3,blur_ksize,15
21,3.0,2.5218843402937106,20.0,,15,,,,0.995754408883083,b,0.0003229054402091656,,,3062,,0.0113,3,blur_ksize,21
15,1.5,3.9557314206344674,20.0,,15,,,,0.9957058507783145,b,0.0002681106321395851,,,3726,,0.001,3,blur_sigma,1.5
15,3.0,2.524613734643438,20.0,,15,,,,0.9957737321196359,b,0.00032151738681202724,,,3076,,0.011,3,blur_sigma,3.0
15,5.0,1.8797862013405344,20.0,,15,,,,0.995593220338983,b,0.00033313633218457985,,,2950,,0.0172,3,blur_sigma,5.0
15,3.0,1.7764211077202032,10.0,,15,,,,0.9955339017458384,b,0.000395793669146545,,,2463,,0.0252,3,diff_thresh,10.0
15,3.0,2.524613734643438,20.0,,15,,,,0.9957737321196359,b,0.00032151738681202724,,,3076,,0.011,3,diff_thresh,20.0
15,3.0,3.097556093673031,30.0,,15,,,,0.9958992384299942,b,0.0002913842425123351,,,3414,,0.0052,3,diff_thresh,30.0
15,3.0,1.9326635359571567,20.0,,8,,,,0.995740498034076,b,0.0003234759652005395,,,3052,,0.0128,3,expand_radius,8
15,3.0,2.524613734643438,20.0,,15,,,,0.9957737321196359,b,0.00032151738681202724,,,3076,,0.011,3,expand_radius,15
15,3.0,3.7162822153098296,20.0,,25,,,,0.99606962380685,b,0.0002796528163986959,,,3562,,0.0039,3,expand_radius,25
,,1.991391499914636,,,,30,300.0,0.5,0.9986444855206408,c,0.00012322858903265557,8115,8115,8115,,,1,felz_scale,300.0
,,2.2772582646609996,,,,30,600.0,0.5,0.9971509971509972,c,0.0002035002035002035,4914,4914,4914,,,1,felz_scale,600.0
,,1.2838661148528367,,,,30,300.0,0.3,1.0,c,6.158773172384061e-05,16237,16237,16237,,,1,felz_sigma,0.3
,,1.991391499914636,,,,30,300.0,0.5,0.9986444855206408,c,0.00012322858903265557,8115,8115,8115,,,1,felz_sigma,0.5
,,2.8155809786987973,,,,30,300.0,0.8,0.9982612475548793,c,0.00021734405564007822,4601,4601,4601,,,1,felz_sigma,0.8
,,2.300724872831967,,,,10,300.0,0.5,0.9987830512224803,c,0.00011063170704723973,9039,9039,9039,,,1,felz_min_size,10
,,1.991391499914636,,,,30,300.0,0.5,0.9986444855206408,c,0.00012322858903265557,8115,8115,8115,,,1,felz_min_size,30
,,3.096463460002321,,,,50,300.0,0.5,0.99762007788836,c,0.00021635655560363478,4622,4622,4622,,,1,felz_min_size,50
,,3.0038397505427374,,,,30,300.0,0.5,0.9989896722047598,c,0.0001122586439155815,8908,8908,8908,,,2,felz_scale,300.0
,,3.477191179057518,,,,30,600.0,0.5,0.9970232188926375,c,0.00019845207382417147,5039,5039,5039,,,2,felz_scale,600.0
,,1.9050522916518609,,,,30,300.0,0.3,1.0,c,5.9463637985371946e-05,16817,16817,16817,,,2,felz_sigma,0.3
,,3.0038397505427374,,,,30,300.0,0.5,0.9989896722047598,c,0.0001122586439155815,8908,8908,8908,,,2,felz_sigma,0.5
,,4.597764518412406,,,,30,300.0,0.8,0.9977111467154955,c,0.00022888532845044633,4369,4369,4369,,,2,felz_sigma,0.8
,,3.2827985215336644,,,,10,300.0,0.5,0.9990943851881666,c,0.00010062386798148522,9938,9938,9938,,,2,felz_min_size,10
,,3.0038397505427374,,,,30,300.0,0.5,0.9989896722047598,c,0.0001122586439155815,8908,8908,8908,,,2,felz_min_size,30
,,4.396166365446262,,,,50,300.0,0.5,0.9979107312440646,c,0.0001899335232668566,5265,5265,5265,,,2,felz_min_size,50
,,2.225927000561006,,,,30,300.0,0.5,0.9987002859370938,c,0.00012997140629061605,7694,7694,7694,,,3,felz_scale,300.0
,,2.406884083557144,,,,30,600.0,0.5,0.9964,c,0.00019999999999999998,5000,5000,5000,,,3,felz_scale,600.0
,,1.4198817746297858,,,,30,300.0,0.3,1.0,c,6.415191172696946e-05,15588,15588,15588,,,3,felz_sigma,0.3
