panel,engine,n_layers,n_labels,fragment_ratio,color_purity,mean_label_size
1,v4_kmeans,4,4,0.25,19.89351642102438,0.25
1,v4_kmeans,6,6,0.3333333333333333,16.92840544316554,0.16666666666666666
1,v4_kmeans,8,8,0.0,8.947501000324838,0.125
1,slic_kmeans,4,4,0.0,17.159995209914065,0.25
1,slic_kmeans,6,6,0.0,12.902330737607436,0.16666666666666666
1,slic_kmeans,8,8,0.0,13.912148221162091,0.125
1,edge_guided,4,4,0.25,19.725999229176647,0.25
1,edge_guided,6,6,0.3333333333333333,13.639430039183743,0.16666666666666666
1,edge_guided,8,7,0.2857142857142857,12.352572479162701,0.14285714285714288
1,grayscale,4,1,0.0,37.28295813374893,1.0
1,grayscale,6,1,0.0,37.28295813374893,1.0
1,grayscale,8,1,0.0,37.28295813374893,1.0
1,ensemble,4,5,0.2,17.43751458124828,0.2
1,ensemble,6,5,0.2,17.43751458124828,0.2
1,ensemble,8,5,0.2,17.43751458124828,0.2
2,v4_kmeans,4,4,0.25,17.239225102661134,0.25
2,v4_kmeans,6,6,0.3333333333333333,16.977273914106636,0.16666666666666666
2,v4_kmeans,8,8,0.0,8.860492382792632,0.125
2,slic_kmeans,4,4,0.0,19.615788375149656,0.25
2,slic_kmeans,6,6,0.0,18.664366801628784,0.16666666666666666
2,slic_kmeans,8,8,0.0,15.025965003676866,0.125
2,edge_guided,4,4,0.25,17.387219732027607,0.25
2,edge_guided,6,6,0.16666666666666666,13.909785833534515,0.16666666666666666
2,edge_guided,8,6,0.16666666666666666,13.909785833534515,0.16666666666666666
2,grayscale,4,1,0.0,40.171112852464915,1.0
2,grayscale,6,1,0.0,40.171112852464915,1.0
2,grayscale,8,1,0.0,40.171112852464915,1.0
2,ensemble,4,5,0.2,24.95541868469742,0.2
2,ensemble,6,5,0.2,24.95541868469742,0.2
2,ensemble,8,5,0.2,24.95541868469742,0.2
3,v4_kmeans,4,4,0.0,17.787961326936006,0.25
3,v4_kmeans,6,6,0.0,12.069710058165066,0.16666666666666666
3,v4_kmeans,8,8,0.0,10.755700665963461,0.125
3,slic_kmeans,4,4,0.0,14.535852540629506,0.25
3,slic_kmeans,6,6,0.0,12.590669700027055,0.16666666666666666
3,slic_kmeans,8,8,0.0,12.954016915372168,0.125
3,edge_guided,4,4,0.0,17.827125189593012,0.25
3,edge_guided,6,5,0.0,13.794874165964373,0.2
3,edge_guided,8,5,0.0,13.794874165964373,0.2
3,grayscale,4,4,0.0,20.785026899672435,0.25
3,grayscale,6,4,0.0,23.645364098016216,0.25
3,grayscale,8,4,0.0,20.564912458791593,0.25
3,ensemble,4,5,0.0,16.664110738453466,0.2
3,ensemble,6,5,0.0,16.664110738453466,0.2
3,ensemble,8,5,0.0,16.664110738453466,0.2
3,v4_kmeans,10,10,0.0,9.027636052750461,0.1
3,v4_kmeans,12,12,0.0,7.944619672722118,0.08333333333333333
3,slic_kmeans,10,10,0.1,11.706859503455503,0.1
3,slic_kmeans,12,12,0.08333333333333333,11.345124183008837,0.08333333333333333
